algorithm,accuracy,precision,recall,sensitivity,f1,roc_auc,pr_auc,cross_validation_f1_mean,cross_validation_f1_std
gradient_boosting_classifier,0.9747474747474747,1.0,0.96875,0.96875,0.9841269841269841,0.9980263157894738,0.9995547131896236,0.9799412496012486,0.009276945200192501
logistic_regression,0.9696969696969697,1.0,0.9625,0.9625,0.9808917197452229,0.996875,0.9993003992715045,0.9756965544346083,0.008844970703849287
random_forest_classifier,0.9696969696969697,1.0,0.9625,0.9625,0.9808917197452229,0.9952302631578949,0.9988773595879856,0.9790992678792756,0.00505904150426985
